Domain: Blocksworld,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-0-0-0-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-0-0-0-0,,,,,,,,,,
,,,,,Total for FFR,,,,,
real,0,0,584,,0,0,2508,,0,2.508
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-0-0-0-0,,,,,,,,,,
,,,,,Total for FF,,,,,
real,0,0,105,,0,18,3005,,0,21.005
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-0-0-0-0,,,,,,,,,,
,,,,,Total for PF,,,,,
real,0,0,362,,0,18,3984,,0,21.984
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-0-0-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-0-0-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,16,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-0-0-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-0-0-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,22,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-0-0-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-0-0-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,119,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-0-0-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,1,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-0-0-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,1,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-0-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-0-0,,,,,,,,,,
,,,,,,,,,,
