Domain: Depots,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile10,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile10,,,,,,,,,,
,,,,,Total for FFR,,,,,
real,0,0,6,,0,0,522,,0,0.522
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile10,,,,,,,,,,
,,,,,Total for FF,,,,,
real,0,8,915,,7,88,5247,,8,33.247
user,0,8,892,,,,,,,
sys,0,0,20,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile10,,,,,,,,,,
,,,,,Total for PF,,,,,
real,0,8,781,,7,101,5388,,8,46.388
user,0,8,772,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile11,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,9,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,61,,,,,,,
user,0,0,56,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,69,,,,,,,
user,0,0,64,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile12,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,16,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,609,,,,,,,
user,0,0,604,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,641,,,,,,,
user,0,0,628,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile13,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile13,,,,,,,,,,
,,,,,,,,,,
real,0,0,5,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile13,,,,,,,,,,
,,,,,,,,,,
real,0,0,7,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile13,,,,,,,,,,
