Domain: Freecell,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile10,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile10,,,,,,,,,,
,,,,,Total for FFR,,,,,
real,0,0,55,,0,0,2124,,0,2.124
user,0,0,48,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile10,,,,,,,,,,
,,,,,Total for FF,,,,,
real,0,0,90,,1,102,3658,,2,45.658
user,0,0,84,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile10,,,,,,,,,,
,,,,,Total for PF,,,,,
real,0,0,128,,1,100,3728,,2,43.728
user,0,0,116,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile11,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,64,,,,,,,
user,0,0,56,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,223,,,,,,,
user,0,0,212,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,287,,,,,,,
user,0,0,284,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile12,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,90,,,,,,,
user,0,0,88,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,41,,,,,,,
user,0,0,36,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,72,,,,,,,
user,0,0,64,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile13,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile13,,,,,,,,,,
,,,,,,,,,,
real,0,0,107,,,,,,,
user,0,0,100,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile13,,,,,,,,,,
,,,,,,,,,,
real,0,3,723,,,,,,,
user,0,3,704,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
