Domain: Rovers,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Rovers/pfile10,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Rovers/pfile10,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,0,0,118,,0,0.118
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Rovers/pfile10,,,,,,,,,,
,,,,,,,,,,
real,0,0,5,,0,0,497,,0,0.497
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Rovers/pfile10,,,,,,,,,,
,,,,,,,,,,
real,0,0,7,,0,0,556,,0,0.556
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Rovers/pfile11,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Rovers/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Rovers/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,4,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Rovers/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,6,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Rovers/pfile12,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Rovers/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Rovers/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Rovers/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,4,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Rovers/pfile13,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Rovers/pfile13,,,,,,,,,,
,,,,,,,,,,
real,0,0,4,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Rovers/pfile13,,,,,,,,,,
,,,,,,,,,,
real,0,0,10,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Rovers/pfile13,,,,,,,,,,
