Domain: Zenotravel,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Zenotravel/pfile10,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Zenotravel/pfile10,,,,,,,,,,
,,,,,Total for FFR,,,,,
real,0,0,3,,0,0,595,,0,0.595
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Zenotravel/pfile10,,,,,,,,,,
,,,,,Total for FF,,,,,
real,0,0,4,,0,0,1255,,0,1.255
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Zenotravel/pfile10,,,,,,,,,,
,,,,,Total for PF,,,,,
real,0,0,5,,0,0,1532,,0,1.532
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Zenotravel/pfile11,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Zenotravel/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Zenotravel/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,5,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Zenotravel/pfile11,,,,,,,,,,
,,,,,,,,,,
real,0,0,6,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Zenotravel/pfile12,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Zenotravel/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Zenotravel/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,4,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Zenotravel/pfile12,,,,,,,,,,
,,,,,,,,,,
real,0,0,5,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Zenotravel/pfile13,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Zenotravel/pfile13,,,,,,,,,,
,,,,,,,,,,
real,0,0,4,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Zenotravel/pfile13,,,,,,,,,,
,,,,,,,,,,
real,0,0,5,,,,,,,
user,0,0,0,,,,,,,
